id,created_at,objection_title,category,real_reasons,detection_signals,taboo_actions,processing_goal,response_patterns,follow_up_logic
11,2026-05-21 16:17:13.724111+00,СКИНЬТЕ ПРОСТО ЦЕНУ,отсутствие понимания,"[""хочет быстро сравнить рынок"",""не понимает ценность"",""избегает разговора"",""пытается контролировать диалог"",""low-investment buyer"",""хочет shortcut""]","[""Требования назвать цифру здесь и сейчас без лишних вопросов""]","[""Сразу отправлять цену без контекста (тебя сравнят как commodity, AI превратится в еще один сервис, продажа умрет)"",""«А какой у вас бюджет?» (слишком рано)"",""Оправдывать стоимость"",""Уходить в длинные объяснения""]","Удержать контроль над диалогом, аккуратно добавить контекст ценности без ухода в оборонительную позицию","{""pattern_1"":""Могу сориентировать по диапазону. Но тут цена сильно зависит от того, AI будет просто обрабатывать сообщения или полноценно управлять воронкой продаж. (мягкий redirect)"",""pattern_2"":""AVERON AI обычно считают не как расход на софт, а как инфраструктуру обработки клиентов. (positioning)"",""pattern_3"":""Если сравнивать с обычными AI-ботами — это другой уровень задач и глубины системы. (anti-commodity)"",""pattern_4"":""Чтобы назвать адекватный диапазон, важно понять: объем лидов, сложность коммуникации, количество каналов, глубину интеграции. (qualification)""}","Если клиент продолжает давить: «Скажу честно — здесь можно сделать и очень дешево. Вопрос только в том, будет ли это реально решать задачу продаж, а не просто отправлять сообщения.»"
12,2026-05-21 16:17:13.724111+00,МЫ УЖЕ РАБОТАЕМ С CRM / АВТОМАТИЗАЦИЕЙ,перегрузка информацией,"[""не понимает разницу"",""считает AI очередной интеграцией"",""устал от инструментов"",""думает «у нас уже все настроено»""]","[""Заявления о полной автоматизации на базе Битрикс24/amoCRM""]","[""Обесценивать текущую CRM клиента"",""Говорить «CRM устарели»""]","Показать концептуальное разделение: CRM хранит историю, а ИИ управляет живой конверсией в моменте","{""pattern_1"":""CRM отлично решают вопрос хранения и управления данными. (Сначала agreement)"",""pattern_2"":""Но CRM сами по себе не ведут клиента к покупке."",""pattern_3"":""AVERON AI работает поверх инфраструктуры и управляет уже самой коммуникацией."",""pattern_4"":""Большинство компаний уже имеют CRM. Вопрос обычно не в наличии системы, а в качестве обработки лида внутри нее."",""strong_frame"":""CRM хранит информацию о продажах. AVERON AI влияет на то, состоится ли сама продажа.""}",Интеграционный аудит: как ИИ может забирать «спящие» сделки из текущих этапов CRM-системы.
13,2026-05-21 16:17:13.724111+00,НАМ НУЖНО ОБСУДИТЬ С КОМАНДОЙ,authority,"[""нет authority"",""боится принимать решение"",""хочет social validation"",""уходит от давления"",""реально нужен consensus""]","[""Перенос решения на коллегиальный совет, партнеров или совет директоров""]","[""«Когда сможете обсудить?» (Потеря контроля, классический weak sales паттерн)""]","Выявить реальный статус ЛПР, помочь структурировать повестку для команды и сохранить за собой инициативу","{""pattern_1"":""Конечно. Такие решения обычно и принимаются командно."",""pattern_2"":""Что для команды будет главным фактором при оценке? (qualification)"",""pattern_3"":""Есть ли сейчас внутри команды больше фокус на: росте конверсии, автоматизации, масштабировании, или снижении нагрузки?"",""pattern_4"":""Чтобы обсуждение было предметным, могу помочь структурировать: как это внедряется, где обычно появляется ROI, и какие процессы меняются. (control retention)""}",Провокация на следующий шаг: «После обсуждения у команды обычно больше вопросов возникает по интеграции или по самому AI-подходу?»
14,2026-05-21 16:17:13.724111+00,МЫ НЕ ХОТИМ ТЕРЯТЬ ЧЕЛОВЕЧНОСТЬ,страх изменений,"[""Истинный страх: AI убьет relationship layer в premium, luxury, медицине, консалтинге, high-ticket нишах""]","[""Беспокойство о потере душевности, эмоциональной связи с клиентом""]","[""«AI уже лучше людей» (Абсолютная катастрофа)""]","Доказать валидность вопроса, показать, что ИИ убирает механические ошибки, сохраняя фокус на клиенте","{""pattern_1"":""Это очень правильный вопрос. (Сразу validation)"",""pattern_2"":""Плохой AI действительно делает коммуникацию искусственной."",""pattern_3"":""Но сильная AI-система наоборот убирает механическую часть общения и позволяет удерживать стабильное качество коммуникации."",""pattern_4"":""AVERON AI не заменяет relationship-building. Он делает так, чтобы клиент не терялся из-за хаоса, задержек и человеческого фактора."",""luxury_frame"":""В premium-сегменте ценится не просто человеческое общение. Ценится ощущение внимания, скорости и качества взаимодействия.""}",Демонстрация сохранения уникального Tone of Voice бренда при массовой обработке.
15,2026-05-21 16:17:13.724111+00,AI ВСЕ РАВНО НЕ СМОЖЕТ ПРОДАВАТЬ КАК ЧЕЛОВЕК,страх изменений,"[""защита привычной модели"",""эмоциональное сопротивление"",""belief conflict"",""страх изменений""]","[""Скептические утверждения о превосходстве живого продавца над алгоритмами""]","[""Пытаться доказать «Сможет!» (Это мгновенно вызывает fight mode)""]","Уйти от конкуренции человека и машины, переформатировать в концепцию синергии: «AI + Человек»","{""pattern_1"":""Во многих сложных продажах — да, человек остается критически важен. (Очень сильное согласие)"",""pattern_2"":""Вопрос обычно не в замене лучших sales-людей. А в том, чтобы вся система обработки клиентов работала стабильно."",""pattern_3"":""Большинство потерь происходят не из-за отсутствия звезд-продажников. А из-за: скорости ответа, отсутствия follow-up, потери лидов, нестабильной коммуникации."",""pattern_4"":""Сильный AI не заменяет closers. Он убирает слабые места между первым контактом и продажей."",""elite_frame"":""Лучшие компании обычно не выбирают между людьми и AI. Они строят систему, где AI усиливает сильных людей.""}","Анализ упущенной выгоды на этапе квалификации лидов, где менеджеры физически не успевают дожимать базу."
16,2026-05-21 16:17:13.724111+00,У НАС НЕТ ТАКОГО ОБЪЕМА ЛИДОВ,Цена / ценность,"[""не видит масштаб проблемы"",""считает AI только для крупных компаний"",""не понимает economics"",""хочет отложить решение"",""не верит в ROI""]","[""Заявления о малом входящем потоке заявок""]","[""«Но AI нужен всем!» (Слишком дешево и generic)""]",Сместить фокус с количества заявок на удельную стоимость и критическую важность потери каждого клиента в узкой воронке,"{""pattern_1"":""Иногда даже несколько потерянных клиентов в месяц уже стоят дороже, чем отсутствие системы."",""pattern_2"":""Вопрос обычно не в количестве лидов. А в том, насколько качественно обрабатывается каждый из них."",""pattern_3"":""Слабая обработка особенно дорогая именно при небольшом потоке, потому что ценность каждого клиента выше."",""roi_frame"":""AVERON AI особенно хорошо показывает себя там, где: важна скорость ответа, нужен стабильный follow-up, и большая часть продаж происходит именно в коммуникации."",""comparison"":""Когда лидов немного, компании обычно особенно зависят от качества конкретного менеджера. AVERON AI снижает эту зависимость."",""cost_frame"":""Самая дорогая часть — не зарплата менеджера. Самая дорогая часть — нестабильность качества обработки клиентов."",""cost_pattern_1"":""Если основная часть коммуникации у вас идет через переписку, то AI-система часто оказывается дешевле даже одного сильного менеджера."",""cost_pattern_2"":""Хороший sales-менеджер — это: зарплата, адаптация, контроль, текучка, человеческий фактор. AVERON AI работает как стабильная инфраструктура."",""cost_pattern_3"":""Даже один сильный менеджер обычно обходится компании сильно дороже, чем кажется на этапе расчета оклада."",""elite_comparison"":""Если у компании небольшой поток лидов, нанимать отдельного сильного sales-менеджера ради переписок часто экономически менее эффективно, чем выстроить AI-system.""}","Дожимающий вопрос: «Если представить, что конверсия вырастет даже на 10–15%, это уже будет ощутимо для бизнеса? Сейчас первичная обработка у вас в основном строится через переписки или через звонки?»"
17,2026-05-21 16:17:13.724111+00,МЫ НЕ ХОТИМ СЛОЖНОЕ ВНЕДРЕНИЕ,страх изменений,"[""fear of change"",""trauma from previous integrations"",""перегруз команды"",""боится хаоса"",""не хочет ломать процессы""]","[""Опасения затяжного технического процесса интеграции, поломки текущих обменов""]","[""Обещать «Это легко» (Если внедрение окажется сложным → доверие разрушится навсегда)""]",Снизить воспринимаемую сложность (perceived complexity) через демонстрацию пошагового эволюционного подхода,"{""pattern_1"":""Это очень частый страх, особенно у компаний, которые уже проходили через тяжелые интеграции."",""pattern_2"":""Поэтому сильные AI-системы обычно внедряются поэтапно, а не через полный переворот процессов за один день."",""pattern_3"":""Главная задача — не усложнить инфраструктуру, а убрать хаос внутри коммуникации."",""comparison"":""Найм нового отдела продаж часто создает больше хаоса, чем постепенное внедрение AI-системы."",""strong_frame"":""Плохое внедрение ощущается как новая нагрузка. Хорошее — как снижение операционного шума.""}",Разбивка процесса на 3 безопасных пилотных этапа без отключения текущих систем менеджеров.
18,2026-05-21 16:17:13.724111+00,НАМ ВАЖЕН ЛИЧНЫЙ КОНТАКТ,доверие,"[""Истинный страх: AI разрушит доверие между брендом и клиентом в B2B, consulting, luxury, медицине""]","[""Акцент на индивидуальной химии отношений между покупателем и продавцом""]","[""«AI уже общается лучше людей» (Грубая ошибка в премиум сегменте)""]","Разделить рутину общения и построение глубоких отношений, где ИИ берет на себя жесткий контроль стандартов ведения","{""pattern_1"":""В high-ticket продажах личный контакт действительно остается важным. (Сначала agreement)"",""pattern_2"":""Но чаще всего клиент теряется не из-за отсутствия человечности. А из-за: медленных ответов, отсутствия follow-up, хаоса в коммуникации."",""pattern_3"":""AVERON AI не заменяет relationship layer. Он делает так, чтобы качество взаимодействия было стабильным."",""comparison"":""Даже сильные менеджеры не могут быть одинаково вовлеченными 24/7. Система может."",""luxury_frame"":""В premium-сегменте клиент оценивает не только человечность. Он оценивает: внимание, скорость, ощущение контроля, качество коммуникации.""}","Выделение участков воронки, где автоматизация высвобождает время ЛПР для личных встреч."
19,2026-05-21 16:17:13.724111+00,У НАС СЛОЖНЫЙ ПРОДУКТ,отсутствие понимания,"[""считает AI слишком поверхностным"",""боится ошибок"",""не верит в глубину AI"",""сложная B2B продажа""]","[""Заявления о специфической внутренней инженерии или кастомных условиях услуг""]","[""«AI разберется» (Звучит слишком дешево и легкомысленно)""]","Показать, что системное обучение ИИ через кастомные базы знаний (RAG) гарантирует знание продукта на уровне топ-инженеров","{""pattern_1"":""Сложные продукты как раз чаще всего сильнее страдают от нестабильной коммуникации."",""pattern_2"":""AVERON AI обучается: терминологии, логике продукта, objections, структуре сделки."",""pattern_3"":""Чем сложнее продажа — тем выше цена ошибки менеджера."",""comparison"":""Большинство менеджеров глубоко знают продукт только через месяцы работы. AI может масштабировать это знание сразу на весь поток."",""strong_frame"":""В сложных продажах проблема обычно не в отсутствии информации. Проблема — в качестве объяснения ценности клиенту.""}","Запрос внутренней документации: «Давайте посмотрим спецификацию вашего продукта, чтобы оценить объем контекстного окна базы знаний»."
20,2026-05-21 16:17:13.724111+00,МЫ НЕ ДОВЕРЯЕМ AI ОБЩЕНИЕ С КЛИЕНТАМИ,доверие,"[""страх репутационных потерь"",""fear of losing control"",""страх ошибок"",""эмоциональное сопротивление""]","[""Прямые высказывания о недоверии автоматическим алгоритмам на фронт-линии общения""]","[""«AI уже идеально работает» (Это только увеличит стену недоверия)""]","Легитимизировать репутационные опасения клиента, переформатировать продукт из бесконтрольного чат-бота в жестко управляемую инфраструктуру","{""pattern_1"":""Это абсолютно нормальный вопрос."",""pattern_2"":""Когда AI внедряется без контроля и логики — это действительно может вредить коммуникации."",""pattern_3"":""Поэтому сильные AI-системы строятся как управляемая sales infrastructure, а не как «автоответчик»."",""comparison"":""Компании часто больше доверяют людям просто по привычке. Хотя именно человеческий фактор обычно создает: потерю лидов, ошибки, разный уровень продаж, нестабильность коммуникации."",""enterprise_frame"":""Главный риск обычно не в AI. Главный риск — в нестабильной человеческой обработке, которую никто не контролирует.""}","Квалификация страха: «Что для вас здесь выглядит самым рискованным: потеря контроля, качество коммуникации, или влияние на бренд?»"
21,2026-05-21 16:17:13.724111+00,МЫ БОИМСЯ ПОТЕРЯТЬ КОНТРОЛЬ,authority,"[""Очень сильное enterprise objection: fear of automation, страх «черного ящика», боязнь непредсказуемости ИИ""]","[""Вопросы о возможности ручного вмешательства, перехвата диалогов и логах решений модели""]","[""«Не переживайте, AI сам все сделает» (Доверие упадет до нуля)""]","Продать прозрачную, измеряемую и полностью предсказуемую систему вместо пугающей концепции абсолютной автономности робота","{""pattern_1"":""Сильные AI-системы не работают как «черный ящик». Они работают как управляемая инфраструктура."",""pattern_2"":""Главная задача — не убрать контроль. А наоборот сделать коммуникацию более прозрачной и предсказуемой."",""pattern_3"":""Большинство компаний уже сейчас теряют контроль внутри человеческой коммуникации. Просто это не всегда заметно."",""comparison"":""Менеджеры: устают, меняют стиль общения, забывают follow-up, теряют лиды. AI-system делает процесс измеряемым и стабильным."",""enterprise_frame"":""Когда продажи зависят от конкретных менеджеров — это уже отсутствие контроля.""}","Наводящий follow-up: «What is more important for you here: transparency of communication, the ability to control, or predictability of the result?»"
22,2026-05-21 16:17:13.724111+00,AI НЕ ПОЙМЕТ НАШИХ КЛИЕНТОВ,отсутствие понимания,"[""считает нишу уникальной"",""emotional attachment к клиентам"",""fear of generic communication"",""сложная аудитория""]","[""Утверждения вроде: «Наши клиенты особенные, к ним нужен тонкий подход, робот так не сможет»""]","[""«AI понимает всех» (Сразу активирует защитный барьер и жесткое сопротивление)""]","Признать высокий статус и исключительную сложность аудитории, объяснить механику кастомизации психотипов внутри модели","{""pattern_1"":""У сложной аудитории действительно очень высокая цена плохой коммуникации."",""pattern_2"":""Поэтому сильные AI-системы обучаются: tone of voice, objections, психологии клиента, логике принятия решений."",""pattern_3"":""AVERON AI не использует один шаблон на всех."",""comparison"":""Даже новым менеджерам нужны месяцы, чтобы начать понимать аудиторию глубоко."",""strong_frame"":""Обычно проблема не в том, что AI не понимает клиента. Проблема в том, что большинство AI обучены слишком поверхностно.""}","Выявление специфики: «Что делает вашу аудиторию наиболее сложной: длинный цикл сделки, высокий чек, эмоциональность, или большое количество возражений?»"
23,2026-05-21 16:17:13.724111+00,МЫ НЕ ХОТИМ ЗАВИСЕТЬ ОТ AI,страх изменений,"[""Очень сильное strategic objection: fear of dependency, страх потери контроля, uncertainty, fear of future lock-in""]","[""Рассуждения о рисках тотальной технологической зависимости от одной закрытой системы""]","[""«Будущее все равно за AI» (Манипулятивный, слабый и раздражающий аргумент)""]",Переориентировать восприятие ИИ с внешнего фактора зависимости на стандартный элемент базовой инфраструктуры компании,"{""pattern_1"":""На самом деле компании уже зависят от систем: CRM, рекламы, аналитики, sales-процессов."",""pattern_2"":""Вопрос обычно не в зависимости. А в том, насколько система: управляемая, прозрачная, и дает результат."",""pattern_3"":""AVERON AI строится как часть sales infrastructure, а не как «магическая кнопка»."",""comparison"":""Когда продажи держатся на нескольких сильных людях — это тоже зависимость. Причем гораздо менее стабильная."",""strong_frame"":""Компании обычно боятся зависимости от AI, но редко боятся зависимости от конкретных менеджеров.""}","Показать открытую архитектуру интеграций, исключающую vendor lock-in."
24,2026-05-21 16:17:13.724111+00,У НАС НЕТ ВРЕМЕНИ ЭТИМ ЗАНИМАТЬСЯ,срочность,"[""перегруз"",""хаос"",""avoidance"",""low priority"",""fatigue""]","[""Отсылки к тотальной занятости, отсутствию свободных слотов в календаре""]","[""«Это не займет много времени» (Считывается как дешевое давление со стороны продавца)""]","Показать, что ИИ — это инструмент ликвидации рутины, разгружающий команду от ежедневного операционного шума","{""pattern_1"":""Обычно именно перегруженные компании сильнее всего нуждаются в систематизации коммуникации."",""pattern_2"":""AVERON AI внедряют не чтобы добавить еще один процесс. А чтобы убрать хаос и ручную нагрузку."",""pattern_3"":""Когда команда перегружена, цена потерянного лида становится особенно высокой."",""comparison"":""Найм, обучение и контроль менеджеров обычно требует намного больше времени и внимания, чем постепенное внедрение AI-system."",""strong_frame"":""Хаос редко появляется потому что у бизнеса слишком мало инструментов. Обычно наоборот — потому что слишком много ручных процессов.""}",Фокусирующий вопрос: «Сейчас команда больше перегружена объемом первичных коммуникаций или именно рутинным ведением старой базы?»
25,2026-05-21 16:39:13.014882+00,ЭТО ВЫГЛЯДИТ СЛИШКОМ ХОРОШО,отсутствие понимания,"[""skepticism"",""fear of manipulation"",""disbelief"",""protection mechanism""]","[""ЭТО ВЫГЛЯДИТ СЛИШКОМ ХОРОШО"",""Слишком хорошо"",""Скепсис"",""Не верю"",""Подозрительно"",""В чем подвох""]","[""\""Нет-нет, все правда!\"" (Weak energy)""]",Согласиться с осторожностью клиента.,"{""pattern_1"":""Сейчас здоровый скепсис абсолютно нормальная реакция."",""pattern_2"":""Рынок Al действительно перегрет обещаниями."",""pattern_3"":""Поэтому сильные компании обычно смотрят не на красивые слова, а на: логику системы, качество коммуникации, и влияние на метрики."",""very_strong_frame"":""Сильные решения обычно выглядят \""слишком хорошо\"" ровно до момента, пока рынок не начинает считать их стандартом."",""comparison_managers"":""Когда-то и сильные CRM казались компаниям чем-то \""слишком сложным\"". Сейчас без них почти никто не работает.""}",
26,2026-05-21 16:39:13.014882+00,НАМ НУЖЕН ЧЕЛОВЕК ДЛЯ ЭМОЦИОНАЛЬНЫХ ПРОДАЖ,доверие,"[""high-ticket сегмент"",""эмоциональная продажа"",""founder-led sales"",""belief: \""Люди покупают у людей\""""]","[""НАМ НУЖЕН ЧЕЛОВЕК ДЛЯ ЭМОЦИОНАЛЬНЫХ ПРОДАЖ"",""Нужен человек"",""Эмоциональные продажи"",""Люди покупают у людей"",""Человеческий фактор"",""Живое общение""]","[""\""Al тоже умеет в эмоции\"" (Звучит крипово и искусственно)""]",Не отрицать роль эмоций. Показать: эмоциональная продажа ≠ хаос коммуникации.,"{""pattern_1"":""В эмоциональных продажах человеческий фактор действительно остается очень важным."",""pattern_2"":""Но большинство потерь обычно происходит не в эмоциях. А между касаниями: долгий ответ, потеря follow-up, отсутствие структуры, нестабильная коммуникация."",""pattern_3"":""AVERON AI не заменяет эмоциональную часть продажи. Он делает так, чтобы клиент вообще дошел до нее."",""very_strong_frame"":""Даже лучший closer теряет эффективность, если система до него приводит клиента в хаосе."",""comparison_managers"":""Сильные closers обычно стоят очень дорого. И компании стараются разгружать их от всей механической и повторяющейся коммуникации.""}","У вас сейчас больше потерь происходит: до созвона, во время продажи, или после первого контакта?"
